ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
312,0,5,0,1,5,1,1,1,4,0,4,2,4,0,2,0,0,0,0,19,0,1,0,1,21,0,0,2,3,1,2,4,2,6,1,5,1,2,0,3,1
313,0,5,0,1,1,0,4,2,4,0,0,1,4,0,3,1,0,0,1,15,1,1,0,1,20,0,3,2,3,1,2,4,2,6,1,4,1,2,1,4,1
314,0,5,0,0,0,4,1,1,6,3,0,4,5,1,3,1,1,3,0,17,1,1,0,1,20,0,3,2,3,1,5,4,1,6,1,4,2,1,1,1,1
315,0,5,0,1,0,4,0,1,4,3,6,0,3,1,2,0,0,3,1,19,2,0,2,1,20,0,3,2,3,1,3,4,2,2,3,6,4,2,0,4,1
316,0,5,0,3,1,3,1,0,0,6,0,3,4,1,3,1,1,3,1,16,1,1,0,0,20,0,3,2,3,1,5,4,1,6,0,5,2,1,1,3,1
317,0,5,0,0,1,0,0,1,4,0,6,0,4,1,2,1,1,0,0,18,2,1,0,1,21,0,0,2,3,1,3,4,2,6,1,5,1,2,1,3,1
318,0,5,0,0,4,1,3,0,0,1,5,1,4,0,1,0,0,2,0,20,2,1,0,1,22,0,0,3,3,1,1,4,2,6,1,6,1,2,1,3,0
319,0,5,0,0,4,1,4,1,3,1,4,0,4,1,3,0,1,0,1,18,2,1,0,1,21,0,0,2,3,1,4,4,2,6,1,6,1,1,2,1,1
320,0,5,0,3,0,1,0,1,3,0,4,3,5,0,1,0,1,0,1,189,2,1,0,1,21,0,0,2,3,1,2,4,1,6,1,7,1,3,1,1,1
321,0,5,0,3,0,0,1,2,3,0,3,3,5,1,2,1,1,2,1,20,2,0,2,0,21,0,0,2,3,1,5,4,0,6,2,5,1,1,1,0,1
322,0,5,0,0,1,2,4,2,4,0,4,1,4,0,1,0,0,2,1,19,2,1,0,0,21,0,0,2,3,1,4,4,2,6,1,5,1,2,1,3,1
323,0,5,0,4,4,1,1,1,0,0,3,1,4,1,2,0,0,0,1,19,1,1,0,0,21,0,0,2,3,1,3,4,1,6,1,5,3,3,1,3,1
324,0,5,0,3,5,4,0,1,3,3,0,4,4,1,2,1,0,0,1,19,2,1,0,0,21,0,0,2,3,1,3,4,2,6,1,6,1,3,1,3,1
325,0,5,0,0,1,1,0,1,3,0,3,0,4,1,3,1,1,1,1,18,1,1,0,0,21,0,0,2,3,1,5,4,1,6,0,4,2,1,2,1,1
326,0,5,0,1,5,1,0,1,3,0,3,0,4,1,3,1,1,1,1,19,2,1,0,0,21,0,0,3,3,1,5,4,2,6,1,3,3,1,1,0,0
327,0,5,0,2,4,2,4,0,1,1,4,1,3,0,1,0,0,2,0,20,0,1,0,1,21,0,0,3,2,1,1,1,2,6,1,4,3,2,0,4,0
328,0,5,0,4,4,1,4,0,0,0,4,1,4,0,1,0,0,2,0,20,2,1,0,1,23,0,0,3,0,1,1,1,1,6,1,1,1,2,3,4,0
329,0,5,0,0,5,1,0,1,3,0,4,1,5,0,0,0,0,2,0,20,2,0,2,0,23,0,0,3,3,1,2,1,2,2,3,4,4,1,1,1,0
330,0,5,0,1,1,1,1,1,4,3,4,1,4,1,3,1,1,1,1,19,1,0,2,1,24,0,0,3,3,1,5,1,0,1,3,1,1,1,1,1,0
331,0,5,0,0,0,1,2,2,6,6,0,0,4,0,2,1,1,0,1,20,0,0,2,1,21,0,0,2,3,1,5,4,2,6,3,5,1,1,1,1,1
332,0,5,0,0,0,0,0,1,4,0,4,1,4,0,1,0,0,0,1,20,0,1,0,1,22,0,0,3,3,1,1,4,2,6,3,5,3,2,0,3,0
333,0,5,0,4,4,0,1,2,4,0,0,0,3,1,2,0,0,2,1,19,2,1,0,1,22,0,0,2,3,1,3,4,2,2,2,5,3,1,1,3,1
334,0,5,0,4,3,1,0,4,3,1,4,0,0,1,3,1,0,1,1,20,1,1,0,0,23,0,4,3,3,1,4,1,2,6,1,3,3,1,0,1,0
